Transcription-Units	Genes of transcription unit	Regulated-By
nuoABCEFGHIJKLMN	nuoN // nuoM // nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA	Regulation of nuoABCEFGHIJKLMN by small regulatory RNA RyhB
ybjG	ybjG	
tldE	tldE	
paaJ	paaJ	
ynfN	ynfN	
yfbM	yfbM	
mnmG-rsmG	mnmG // rsmG	
nagA	nagA	
fimB	fimB	Regulation of fimB by small regulatory RNA MicA
can	can	
creD	creD	
hisLGDCBHAFI	hisL // hisG // hisD // hisC // hisB // hisH // hisA // hisF // hisI	
chaC	chaC	
cbpAM	cbpM // cbpA	Regulation of cbpAM by ppGpp
galET	galT // galE	
dapA-nlpB	bamC // dapA	
yghF	yghF	
mog	mog	
ytfL	paeA	
feaR	feaR	
amyA	amyA	
yacG	yacG	
yaaX	yaaX	
zntA	zntA	
gpt	gpt	
cdd	cdd	
yghT	yghT	Regulation of yghT by DNA-binding transcriptional dual regulator Nac
ftsQAZ	ftsQ // ftsA // ftsZ	
rlmD	rlmD	
yjbEFGH	yjbH // yjbG // yjbF // yjbE	
yffQR	yffR // yffQ	
selC	selC	
add	add	
mutY-yggX	yggX // mutY	
ygaM	ygaM	
ghrB	ghrB	
ddlA	ddlA	Regulation of ddlA by DNA-binding transcriptional dual regulator Nac
gmk	gmk	
pepT	pepT	
ycjXF	ycjF // ycjX	
gltA	gltA	
gadC	gadC	Regulation of gadC by ppGpp
yciI	yciI	
ydgK-rsxABCDGE-nth	nth // rsxE // rsxG // rsxD // rsxC // rsxB // rsxA // ydgK	
yajD	yajD	Regulation of yajD by DNA-binding transcriptional dual regulator Nac
paaXY	paaY // paaX	
msyB	msyB	Regulation of msyB by ppGpp
ribE-nusB-thiL-pgpA	pgpA // thiL // nusB // ribE	
micL	micL	
yahDEFG	yahG // yahF // yahE // yahD	
eno	eno	
abgABT-ogt	abgA // abgB // abgT // ogt	
nagC	nagC	
aroL-yaiA-aroM	aroL // yaiA // aroM	
lacZYA	lacA // lacY // lacZ	
yfdE	yfdE	Regulation of yfdE by DNA-binding transcriptional dual regulator Nac
dnaAN-recF	recF // dnaN // dnaA	
allR	allR	
dsbD-yjdC	dsbD // yjdC	
alaA	alaA	
yadE	yadE	
ygiZ	ygiZ	
csdAE	csdE // csdA	
pitB	pitB	
yjbJ	yjbJ	Regulation of yjbJ by ppGpp // Regulation of yjbJ by DNA-binding transcriptional regulator FliZ
yfaL	yfaL	
hyaABCDEF	hyaA // hyaB // hyaC // hyaD // hyaE // hyaF	
ygiD	ygiD	Regulation of ygiD by DNA-binding transcriptional activator YhaJ
rpoS	rpoS	
glmUS	glmS // glmU	Regulation of glmUS by small regulatory RNA GlmZ
rdlA	rdlA	
rpsT	rpsT	
dgkA	dgkA	
acnA	acnA	
ydfV	ydfV	
evgAS	evgS // evgA	
kup	kup	
yciK-btuR	yciK // btuR	
yajG	yajG	
dgcF	dgcF	
pdeG	pdeG	Regulation of pdeG by DNA-binding transcriptional repressor GlaR
clsA-yciU	yciU // clsA	
yciGFE	yciE // yciF // yciG	
stpA	stpA	
deoCABD	deoC // deoA // deoB // deoD	
insL1	insL1	
proVWX	proX // proW // proV	
udk-dcd	dcd // udk	Regulation of udk-dcd by RbsR-D-ribose
gcvR	gcvR	
yiaB	yiaB	
yajO	yajO	Regulation of yajO by ppGpp
exbBD	exbD // exbB	
yjeM	yjeM	
tsaD	tsaD	
tatABC	tatC // tatB // tatA	
ampDE	ampD // ampE	
rfaDFCL	waaL // waaC // waaF // rfaD	
dppABCDF	dppF // dppD // dppC // dppB // dppA	Regulation of dppABCDF by small regulatory RNA GcvB
rrsE-gltV-rrlE-rrfE	rrfE // rrlE // gltV // rrsE	
yceI	yceI	
yheO-tusDCB	tusB // tusC // tusD // yheO	
nepI	nepI	
yfbU-hxpA	yfbU // hxpA	
can	can	
pncC	pncC	
emrE	emrE	
recET-ralR-rcbA-xisR-intR	recE // recT // ralR // rcbA // xisR // intR	
rapA-rluA	rluA // rapA	
ynfP	ynfP	
yfjM	yfjM	
yciG	yciG	
tpke70	tpke70	
acs-yjcHG	actP // yjcH // acs	
tppB	dtpA	
yjaZ	yjaZ	
ygbF	cas2	
allA	allA	
mutM	mutM	
mhpT	mhpT	
yfbN	yfbN	
kdpDE	kdpE // kdpD	
zraSR	zraR // zraS	
aroL-yaiA-aroM	aroM // yaiA // aroL	
ybeD	ybeD	
paoABCD	paoA // paoB // paoC // paoD	
gadAX	gadX // gadA	
mglAC	mglC // mglA	
rpmH-rnpA	rnpA // rpmH	
mraZW-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH // mraZ	
yfdONMLK	yfdO // yfdN // yfdM // yfdL // yfdK	Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI // Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI // Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI // Regulation of yfdONMLK by DNA-binding transcriptional activator YgfI
osmE	osmE	
dcuD	dcuD	
yiaWV	yiaW // yiaV	Regulation of yiaWV by DNA-binding transcriptional activator YiaU
ldrB	ldrB	
yjbQR	yjbR // yjbQ	
ymgGD	ymgG // ymgD	
yajC-secDF	secF // secD // yajC	
yfcG	yfcG	
ygbE	ygbE	
yijO	yijO	Regulation of yijO by DNA-binding transcriptional dual regulator Nac
istR-2	istR	
insA1B1AB1	insA1 // insB1 // insAB1	
yfcD	yfcD	
pykA	pykA	
appY	appY	
lapAB	lapB // lapA	
shoB	shoB	Regulation of shoB by small regulatory RNA OhsC
lpxC	lpxC	
dgcZ	dgcZ	Regulation of dgcZ by carbon storage regulator // Regulation of dgcZ by carbon storage regulator
artPIQM	artM // artQ // artI // artP	
lpxD	lpxD	
fhuF	fhuF	
yaiP	yaiP	
tyrB	tyrB	
yddM	yddM	
yhiS	yhiS	
emrD	emrD	
allDC-ylbA	allE // allC // allD	
focA-pflB	pflB // focA	
hemL	hemL	
aceBAK	aceB // aceA // aceK	
fdoGHI-fdhE	fdhE // fdoI // fdoH // fdoG	Regulation of fdoGHI-fdhE by small regulatory RNA SdhX
yfeH	yfeH	
secE-nusG	secE // nusG	
cbpA-cbpM	cbpM // cbpA	
alaA-yfbR	yfbR // alaA	
fryBC-ypdFE-fryA	fryB // fryC // ypdF // ypdE // fryA	
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	
mdtNOP	mdtN // mdtO // mdtP	
yibD	waaH	Regulation of yibD by DNA-binding transcriptional dual regulator BasR-phosphorylated
dgt	dgt	
yciSM-pyrF-yciH	yciH // pyrF // lapB // lapA	
rhsA-yibA	yibA // rhsA	
lapAB	lapB // lapA	
glk	glk	
sra	sra	
ycgM	ycgM	
hepA	rapA	
yfjXY-ypjJ-yfjZ-ypjF	ypjF // yfjZ // ypjJ // yfjY // yfjX	
dnaAN-recF	recF // dnaN // dnaA	
glnQ	glnQ	
yibIH	yibI // yibH	
yntF-ydfK	ynfT // ydfK	
yjjJ	yjjJ	
kgtP	kgtP	Regulation of kgtP by small regulatory RNA GcvB // Regulation of kgtP by DNA-binding transcriptional dual regulator ArcA-phosphorylated
yeaM	nimR	
acpH	acpH	
sroA	sroA	
rssB	rssB	Regulation of rssB by ppGpp
yaaA	yaaA	
pflB	pflB	
pfkA	pfkA	
atpIBEFHAGDC	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // atpI	
barA	barA	
eaeH-insE1EF1F1	insF1 // insE1 // insEF1 // eaeH	
hcaEFCBD	hcaD // hcaB // hcaC // hcaF // hcaE	
kefFC	kefC // kefF	
gadXW	gadW // gadX	Regulation of gadXW by small regulatory RNA GadY
ydbK-ompN	ompN // ydbK	
ykfA-yafZ	ykfA // yafZ	
rluE-nudJ	rluE // nudJ	
ycjD	ycjD	
yfgF	pdeF	
rplT-pheM	pheM // rplT	
dnaN-recF	recF // dnaN	
folC-dedD	folC // dedD	
pstCAB-phoU	phoU // pstB // pstA // pstC	
mak	mak	
yjaG	yjaG	
yhjA	ccp	
glvCBG-ysdC	glvC // glvB // glvG	
yfiE	yfiE	
ygaQ	ygaQ	
actP	actP	
yiiF	yiiF	
lysU	lysU	
flgAMN	flgN // flgM // flgA	
nhaB	nhaB	
ampH	ampH	
xanP	xanP	
ybfHG	ybfG	
ydeO	ydeO	
rtcBA	rtcA // rtcB	
tdcBCDEFG	tdcG // tdcF // tdcE // tdcD // tdcC // tdcB	
ydeM	ydeM	
crp	crp	
creABC	creC // creB // creA	
ymgE	ymgE	
ykgH	ykgH	
ydcR	ydcR	
yeaY	yeaY	
csiE	csiE	
btuCED	btuD // btuE // btuC	
speF-potE	speFL // potE // speF	Regulation of speF-potE by OmpR dimer
yjjB-dnaTC-yjjA	yjjA // dnaC // dnaT // yjjB	
dnaN-recF	recF // dnaN	
yrdD-rimN-aroE-yrdB	yrdB // aroE // tsaC // yrdD	
rplJL-rpoBC	rplJ // rplL // rpoB // rpoC	
sucAB	sucB // sucA	
yecF	yecF	
amiC	amiC	
chaBC	chaB // chaC	Regulation of chaBC by DNA-binding transcriptional repressor GlaR
yjbFGH	yjbH // yjbG // yjbF	
yeaR-yoaG	yeaR // yoaG	
shiA	shiA	Regulation of shiA by small regulatory RNA RyhB
yejG	yejG	
xapR	xapR	
uxaB	uxaB	
ynfEFGH-dmsD	dmsD // ynfH // ynfG // ynfF // ynfE	
nagC	nagC	
ltaE-ybjT	ybjT // ltaE	
secB-gpsA	secB // gpsA	
yhjE	yhjE	Regulation of yhjE by DNA-binding transcriptional dual regulator ArcA-phosphorylated // Regulation of yhjE by DNA-binding transcriptional dual regulator Nac
frdABCD	frdD // frdC // frdB // frdA	
ypjD	ypjD	
ymfJ	ymfJ	
puuAP	ymjE // puuP // puuA	
iraM	iraM	
lsrK	lsrK	
pepB	pepB	
ilvLXG_1G_2MEDA	ilvX // ilvG // ilvA // ilvD // ilvE // ilvM // ilvL	
yfcUSRQPO	yfcU // yfcS // yfcR // yfcQ // yfcP // yfcO	
nac	nac	
hypABCDE-fhlA	fhlA // hypE // hypD // hypC // hypB // hypA	
thrS-infC	infC // thrS	
ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	
cyaA	cyaA	
rimJ	rimJ	
yagAB-insX	yagA // yagB // insX	Regulation of yagAB-insX by XynR-D-xylonate
serA	serA	
fliFGHIJK	fliF // fliG // fliH // fliI // fliJ // fliK	
xylAB	xylB // xylA	
bglG	bglG	
glnB	glnB	
mltD	mltD	Regulation of mltD by DNA-binding transcriptional dual regulator Nac
cspB	cspB	
yfdX	yfdE // yfdV // oxc // frc // yfdX	
arnBCADTEF	arnF // arnE // arnT // arnD // arnA // arnC // arnB	Regulation of arnBCADTEF by DNA-binding transcriptional dual regulator BasR-phosphorylated
insH-5	insH5	
ygiH	plsY	
cfa	cfa	Regulation of cfa by small regulatory RNA CpxQ // Regulation of cfa by small regulatory RNA RydC // Regulation of cfa by small regulatory RNA ArrS
yfjH	yfjH	
yedD	yedD	
ompX	ompX	Regulation of ompX by small regulatory RNA MicA // Regulation of ompX by small regulatory RNA CyaR
fieF	fieF	
yfeYX	yfeX // yfeY	
pdeR	pdeR	
elaA	elaA	
alpA	alpA	
fre	fre	
rsmD-yhhL	yhhL // rsmD	
uspB	uspB	
mntH	mntH	
mutL-miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA // mutL	
bssS	bssS	
dauA	dauA	
stfE-tfaE	stfE // tfaE	
caiCDE	caiE // caiD // caiC	
mcbR	mcbR	Regulation of mcbR by DNA-binding transcriptional repressor YgiV
radD	radD	
acnA	acnA	Regulation of acnA by ppGpp
ves	ves	
yagML	yagM // yagL	
puuP	ymjE // puuP	
ynbABCD	ynbD // ynbC // ynbB // ynbA	
ydaL	smrA	
gpmM-envC-yibQ	yibQ // envC // gpmM	
bcsEFG	bcsG // bcsF // bcsE	
rpoE-rseABC	rseC // rseB // rseA // rpoE	
yciVOQ	yciQ // yciO // rnm	
ivy	ivy	Regulation of ivy by DNA-binding transcriptional dual regulator Nac
cobUST	cobT // cobS // cobU	
edd-eda	eda // edd	
pflDC	pflD // pflC	
gapA	gapA	
poxB	poxB	Regulation of poxB by ppGpp
yfdF	yfdF	
eptB	eptB	Regulation of eptB by small regulatory RNA ArcZ // Regulation of eptB by small regulatory RNA MgrR
yijE	yijE	
gpmM-envC-yibQ	yibQ // envC // gpmM	
dinI	dinI	
hcp-hcr	hcr // hcp	
hypF	hypF	
osmB	osmB	
yjjQ-bglJ	bglJ // yjjQ	
yrbG-kdsDC-lptCAB	lptB // lptA // lptC // kdsC // kdsD // yrbG	
argT-hisJQMP	hisP // hisM // hisQ // hisJ // argT	
ypfG	ypfG	
aaeR	aaeR	
yphCB	yphC // yphB	
gcd	gcd	
rstAB	rstB // rstA	
pdeL	pdeL	
pptA	pptA	
yicR-rpmBG-mutM	mutM // rpmG // rpmB // yicR	
yggE	yggE	
speAB	speB // speA	
ygdI	ygdI	
yegE	dgcE	
acrR	acrR	
yadV-htrE	htrE // yadV	
rpsMKD-rpoA-rplQ	rplQ // rpoA // rpsD // rpsK // rpsM	
rpmH-rnpA	rnpA // rpmH	
mqo	mqo	Regulation of mqo by DNA-binding transcriptional dual regulator ArcA-phosphorylated
mnt-btuF-yadS	mtn // btuF // yadS	
ldtF	dpaA	Regulation of ldtF by DNA-binding transcriptional dual regulator Nac
dcrB	dcrB	
sugE	gdx	Regulation of sugE by guanidinium // Regulation of sugE by guanidinium
yegJ	yegJ	
yhjX	yhjX	
envR	envR	
gspCDEFGHIJKLMO	gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC	
purU	purU	Regulation of purU by small regulatory RNA GcvB
icdC	icdC	
nhoA	nhoA	
pfkA	pfkA	
yfbL	yfbL	Regulation of yfbL by DNA-binding transcriptional dual regulator Nac
tpx	tpx	
rfe-wzzE-wecBC-rffGHC-wecE-wzxE-wecF-wzyE-rffM	rffM // wzyE // wecF // wzxE // wecE // rffC // rffH // rffG // wecC // wecB // wzzE // rfe	
ymiA-yciX	yciX // ymiA	
yihLM	yihM // yihL	
ydbK	ydbK	
htrL	htrL	
bluR	bluR	
yfhL	yfhL	
mscS	mscS	
rrfG	rrfG	
recF	recF	
dadAX	dadA // dadX	
accA	accA	Regulation of accA by acetyl-CoA carboxyltransferase
glcBA	glcA // glcB	
acs-yjcHG	actP // yjcH // acs	
ydhP	ydhP	
galU	galU	
srlR	srlR	
rzoR	rzoR	
mokB	mokB	Regulation of mokB by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
mdtH	mdtH	
clpX-lon	lon // clpX	
acrAB	acrA // acrB	
yafNOP	yafP // yafO // yafN	
moaABCDE	moaA // moaB // moaC // moaD // moaE	
dusC	dusC	
lptAB	lptB // lptA	
yhdWXYZ	yhdZ // yhdY // yhdX // yhdW	
prfB-lysS	lysS // prfB	Regulation of prfB-lysS by ppGpp
micC	micC	
yiaD	yiaD	Regulation of yiaD by DNA-binding transcriptional dual regulator Nac
rhsB	rhsB	
dam-rpe-gph-trpS	trpS // gph // rpe // dam	
fabHDG	fabH // fabD // fabG	
azoR	azoR	
wza-wzb-wzc-wcaAB	wcaB // wcaA // wzc // wzb // wza	
yggR	yggR	
glrR-glnB	glnB // glrR	
yihUTS	yihU // yihT // yihS	
yaiZ	yaiZ	
yggN	yggN	
garPLRK-rnpB	rnpB // garK // garR // garL // garP	
hyfABCDEFGHIJR-focB	focB // hyfR // hyfJ // hyfI // hyfH // hyfG // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA	
atoSC	atoC // atoS	
ypfJ-tmcA	ypfJ // tmcA	
cedA	cedA	
alsBACE	alsE // alsC // alsA // alsB	
eno	eno	
ydcO	ydcO	Regulation of ydcO by DNA-binding transcriptional dual regulator SutR
zipA	zipA	
nudB-yebC-ruvC	ruvC // yebC // nudB	
gspAB	gspB // gspA	
ychE	ychE	
yfaVU	yfaV // yfaU	
yncK	yncK	
pgk	pgk	
valS	valS	
yfbP	yfbP	
pqiABC	pqiC // pqiB // pqiA	
dxr-uppS-cdsA	cdsA // ispU // dxr	
rfbBDACX	rfbX // rfbC // rfbA // rfbD // rfbB	
yfaH	yfaH	
rluC	rluC	Regulation of rluC by ppGpp
leuO	leuO	
nhaAR	nhaR // nhaA	
ggt	ggt	Regulation of ggt by ppGpp
infC-rpmI-rplT	rplT // rpmI // infC	
def-fmt	def // fmt	
hlyE	hlyE	
cbrA	cbrA	Regulation of cbrA by DNA-binding transcriptional regulator CreB-phosphorylated
ybdD	ybdD	
mnmE	mnmE	
yhfXW-php-yhfUTS	yhfX // yhfW // php // yhfU // yhfT // yhfS	
sthA	sthA	
yzfA	yzfA	
yigI	yigI	
yfcE	yfcE	
csrA	csrA	Regulation of csrA by ppGpp
ymgC	ymgC	
ftsQAZ	ftsQ // ftsA // ftsZ	
rapA	rapA	
ybjN	ybjN	
preTA	preA // preT	
plsB	plsB	
rirA-rfaQGPSBIJYZ-waaU	rirA // waaU // waaZ // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ	
ndk	ndk	Regulation of ndk by DNA-binding transcriptional dual regulator ArcA-phosphorylated
chaA	chaA	Regulation of chaA by DNA-binding transcriptional repressor GlaR
yccR	sxy	
yiaA	yiaA	
yhhI	yhhI	
ynaE	ynaE	Regulation of ynaE by DNA-binding transcriptional repressor GlaR
symE	symE	Regulation of symE by small regulatory RNA antitoxin SymR
yjeFE-amiB-mutL-miaA-hfq-hflXKC	tsaE // nnr // amiB // mutL // miaA // hfq // hflX // hflK // hflC	
insJ	insJ	
ymjC-mpaA	ymjC // mpaA	
rsd	rsd	
narZYWV	narV // narW // narY // narZ	
hupA	hupA	
proVWX	proX // proW // proV	
yhiL	yhiL	
rcsF-trmO	rcsF // trmO	
uvrD	uvrD	
glyQS	glyS // glyQ	
torS	torS	
hchA	hchA	
ydeE	ydeE	Regulation of ydeE by small regulatory RNA GcvB // Regulation of ydeE by DNA-binding transcriptional dual regulator Nac
rpsI	rpsI	
yhhY	yhhY	
helD	helD	
cbrBC	cbrC // cbrB	
gpmA	gpmA	Regulation of gpmA by small regulatory RNA FnrS
bhsA	bhsA	
eutBCLKR	eutB // eutC // eutL // eutK // eutR	
cstA	cstA	
yfbS	yfbS	
mreB	mreB	
rmuC	rmuC	
yfdPQ	yfdQ // yfdP	Regulation of yfdPQ by DNA-binding transcriptional activator YgfI // Regulation of yfdPQ by DNA-binding transcriptional activator YgfI // Regulation of yfdPQ by DNA-binding transcriptional activator YgfI // Regulation of yfdPQ by DNA-binding transcriptional activator YgfI
fpr	fpr	
yfbK	yfbK	Regulation of yfbK by DNA-binding transcriptional dual regulator Nac
ycfJ	ycfJ	
ytfK	ytfK	
rrlH-rrfH	rrfH // rrlH	
degP	degP	
yeiH	yeiH	Regulation of yeiH by DNA-binding transcriptional dual regulator Nac
pagP	pagP	
folX-yfcH	yfcH // folX	Regulation of folX-yfcH by small regulatory RNA FnrS
nadC	nadC	
hofMNOP	hofM // hofN // hofO // hofP	
polB	polB	
ydgJ	ydgJ	
insC2D2CD2	insC2 // insD2 // insCD2	
yjiT	yjiT	
yaaJ	yaaJ	
rnd	rnd	
ycgH	ycgH	
treBC	treC // treB	
bglH-yieLK	bglH // yieL // yieK	
yibJ	yibJ	
otsBA	otsA // otsB	Regulation of otsBA by ppGpp
waaA	waaA	
hupB	hupB	
yicH	yicH	
dksA-yadB	gluQ // dksA	
ycdT	dgcT	Regulation of ycdT by carbon storage regulator // Regulation of ycdT by carbon storage regulator
ysaA	ysaA	
lolCDE	lolE // lolD // lolC	
yffO-yffP	yffP // yffO	
ileS-lspA-fkpB-ispH	ispH // fkpB // lspA // ileS	
amiA-hemF	hemF // amiA	
arsRBC	arsR // arsB // arsC	
lpxP	lpxP	
dcp	dcp	Regulation of dcp by DNA-binding transcriptional dual regulator Nac
eutHA	eutH // eutA	Regulation of eutHA by antitoxin/DNA-binding transcriptional repressor HipB // Regulation of eutHA by antitoxin/DNA-binding transcriptional repressor HipB
rlmJ	rlmJ	
ilvIH	ilvH // ilvI	
ttdR	ttdR	
otsBA	otsB // otsA	
uspE	uspE	
efeU	efeU	
ohsC	ohsC	
glpTQ	glpQ // glpT	
pfkB	pfkB	
tsaE-amiB-mutL-miaA-hfq-hflXKC	hflC // hflK // hflX // hfq // miaA // mutL // amiB // tsaE	
rluB	rluB	
yehDCBA	yehD // yehC // yehB // yehA	
pcnB-folk	folK // pcnB	
psuKG	psuK // psuG	Regulation of psuKG by CRP-cyclic-AMP DNA-binding transcriptional dual regulator
hslVU	hslU // hslV	
csgDEFG	csgG // csgF // csgE // csgD	
hrpB	hrpB	
rydC	rydC	
hslO	hslO	
envY-ompT	ompT // envY	
rihB	rihB	
metC	metC	
yfdY	yfdY	
psd-mscM	mscM // psd	
ppiC	ppiC	
metBL	metL // metB	
napFDAGHBC-ccmABCDEFGH	ccmH // ccmG // ccmF // ccmE // ccmD // ccmC // ccmB // ccmA // napC // napB // napH // napG // napA // napD // napF	
yiaKLMNO-lyx-sgbHUE	yiaM // sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaL // yiaK	
paaABCDEFGHIJK	paaK // paaJ // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA	Regulation of paaABCDEFGHIJK by DNA-binding transcriptional activator YgfI
ydeI	ydeI	
fucR	fucR	
yeaL	yeaL	
bhsA	bhsA	
zraP	zraP	
rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	
oxc	oxc	
clpS	clpS	
ycgL	ycgL	
yeiR-lpxT	lpxT // yeiR	
kilR-ydaE	kilR // ydaE	
ynjE	ynjE	
yfcF	yfcF	
poxB	poxB	Regulation of poxB by ppGpp
hcaR	hcaR	Regulation of hcaR by e14 prophage; small regulatory RNA C0293
carB	carB	
mdtABCD-baeSR	baeR // baeS // mdtD // mdtC // mdtB // mdtA	
yfgO	yfgO	
lgt-thyA	thyA // lgt	
roxA	roxA	
ymdE-ycdU	ycdU // ymdE	
nohA-stfQ-tfaQ	tfaQ // stfQ // nohA	
sokC	sokC	
emrKY	emrY // emrK	
ascG	ascG	
cfa	cfa	
queA	queA	
yibG	yibG	
atpBEFHAGDC	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB	
mdtEF	mdtF // mdtE	
rpnA	rpnA	
adeQ	adeQ	
msrB	msrB	Regulation of msrB by small regulatory RNA RyhB // Regulation of msrB by small regulatory RNA RyhB
trpR	trpR	
nadB	nadB	
dcuR	dcuR	
yibL	yibL	
ybeZYX-lnt	lnt // ybeX // ybeY // ybeZ	
metG	metG	
glgAP	glgP // glgA	
talA-tktB	tktB // talA	Regulation of talA-tktB by RNA polymerase-binding transcription factor DksA // Regulation of talA-tktB by ppGpp
ypeC	ypeC	
soxR	soxR	Regulation of soxR by putrescine
yfiC	yfiC	
yhdJ	yhdJ	
ileS-lspA-fkpB-ispH	ispH // fkpB // lspA // ileS	
pliG	pliG	Regulation of pliG by Zur-Zn2+ DNA-binding transcriptional repressor
omrA	omrA	
cvrA	cvrA	
gatR_2	gatR	
sdsR-pphA	sdsR // pphA	
insH-2	insH2	
ldcA	ldcA	
fabI	fabI	
gadBC	gadC // gadB	Regulation of gadBC by ppGpp
yceD-rpmF	rpmF // yceD	
yhhW	yhhW	Regulation of yhhW by DNA-binding transcriptional activator YhaJ
yabPQ	yabQ // yabP	
chbBCARFG	chbG // chbF // chbR // chbA // chbC // chbB	
yrdA	yrdA	
yebQ	yebQ	Regulation of yebQ by DNA-binding transcriptional dual regulator Nac
ycdZ	ycdZ	
fes-ybdZ-entF-fepE	ybdZ // fes // entF // fepE	
dgoRKADT	dgoR // dgoK // dgoA // dgoD // dgoT	
yejABEF	yejF // yejE // yejB // yejA	
trxC	trxC	
ssrS	ssrS	
rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC	lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL // rsmH	
fepDGC	fepC // fepG // fepD	
gor	gor	
moaBCDE	moaE // moaD // moaC // moaB	
ychO	ychO	
hslR-hslO	hslO // hslR	
yihUTS	yihS // yihT // yihU	
polA	polA	
elfDCG-ycbUVF	ycbF // ycbV // ycbU // elfG // elfC // elfD	
ymfH-xisE-intE	ymfH // xisE // intE	
codBA	codB // codA	
mlc-ynfK	bidA // mlc	
caiTABCDE	caiE // caiD // caiC // caiB // caiA // caiT	
aslA	aslA	
mazEFG	mazG // mazF // mazE	
yehLMPQ	yehQ // yehP // yehM // yehL	
elaB	elaB	Regulation of elaB by ppGpp
prmB-aroC-mepA-yfcA-epmC-yfcL	prmB // aroC // mepA // yfcA // epmC // yfcL	
dnaQ	dnaQ	
yhjD	yhjD	Regulation of yhjD by DNA-binding transcriptional dual regulator Nac
yceK	yceK	
puuCBE	puuE // puuB // puuC	
tktB	tktB	
glnHPQ	glnQ // glnP // glnH	
sdaA	sdaA	
ybgTE	ybgE // cydX	
frc	frc	
rlmE-ftsH	ftsH // rlmE	
cspI	cspI	
glpGR	glpR // glpG	
yhjV	yhjV	
yfiF	yfiF	Regulation of yfiF by DNA-binding transcriptional dual regulator ArcA-phosphorylated
dnaN-recF	recF // dnaN	
trkA	trkA	
dapB	dapB	
nhaAR	nhaR // nhaA	
mdoGH	opgH // opgG	
usg-truA-dedA	dedA // truA // usg	
hypF	hypF	
isrC	isrC	
sixA	sixA	
cueO	cueO	
yibN	yibN	
ssrS	ssrS	
acnB	acnB	Regulation of acnB by small regulatory RNA RyhB // Regulation of acnB by AcnB
yrhB	yrhB	Regulation of yrhB by DNA-binding transcriptional dual regulator Nac
glnS	glnS	
yegI	yegI	
ftsK	ftsK	
ytfB	ytfB	
yedA	yedA	
aspT	aspT	
intS	intS	
ycgX	ycgX	Regulation of ycgX by DNA-binding transcriptional dual regulator Nac
topA	topA	
rsuA	rsuA	
btsSR	btsS // btsR	
ygbI	ygbI	
slyB	slyB	
ycjW	ycjW	
ilvA	ilvA	
accD	accD	Regulation of accD by acetyl-CoA carboxyltransferase
ycgY	ycgY	
rttR	rttR	
yccFS	yccF // yccS	
ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP	tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	
cydAB	cydB // cydA	
yjjY	yjjY	
ygfM-xdhD	xdhD // ygfM	
glnD	glnD	
wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC	wcaC // wcaD // wcaE // wcaF // gmd // fcl // gmm // wcaI // cpsB // cpsG // wcaJ // wzxC	
ilvEDA	ilvA // ilvD // ilvE	
cmr	mdfA	
cydDC	cydC // cydD	Regulation of cydDC by small regulatory RNA FnrS
phoPQ	phoQ // phoP	
dinD	dinD	
solA-yceO	solA // yceO	
yhdN-zntR	yhdN // zntR	
rpnE-ypaA	ypaA // rpnE	
kdsC-lptCAB	lptB // lptA // lptC // kdsC	
ihfB	ihfB	
argE	argE	
pbpG	pbpG	
potFGHI	potI // potH // potG // potF	
rpsA-ihfB	ihfB // rpsA	
kdsA	kdsA	
tsr	tsr	
mpl	mpl	
nikR	nikR	
yghU	yghU	
prs	prs	
zupT	zupT	
bdm-sra	sra // bdm	
